respondent_id,comment_text,hearing_date,ward,role,language,housing_tenure,school,validation_theme
SYN-0218,Please explain how the safety budget will be used at each school.,2026-09-12,10,Parent,English,Renter,Community School A,school_safety
SYN-0219,Students are waiting too long for mental-health support.,2026-09-12,8,Parent,English,Other,Community School A,mental_health
SYN-0220,"After attending multiple hearings, I am increasingly concerned. Families need clear transportation updates before routes change.",2026-09-12,5,Student,English,Owner,Community School A,transportation
SYN-0221,"After attending multiple hearings, I am increasingly concerned. Meeting materials should be accessible before the public hearing. I live at 321 Community Avenue, Apt 12B.",2026-09-12,8,Teacher,English,Renter,Community School D,accessibility
SYN-0222,Families received the notice too late to prepare meaningful comments.,2026-09-07,20,Parent,English,Renter,Community School A,communication
SYN-0223,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials. Contact Riley Hayes at sample.person223@example.org or 312-555-1223.",2026-09-12,10,Parent,English,Renter,Community School D,classroom_resources
SYN-0224,Students need a safer arrival plan and trained staff at dismissal.,2026-09-07,7,Parent,Spanish,Renter,Community School C,school_safety
SYN-0225,Every school needs reliable access to social workers and counselors.,2026-09-02,7,Resident,English,Owner,Community School C,mental_health
SYN-0226,The current bus schedule causes students to arrive late.,2026-09-02,8,Parent,Mandarin,Renter,Community School D,transportation
SYN-0227,Why was the accessibility plan not included with the proposal?,2026-09-12,8,Parent,English,Renter,Community School A,accessibility
SYN-0228,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-12,7,Resident,English,Renter,Community School C,communication
SYN-0229,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-02,5,Parent,English,Renter,Community School C,classroom_resources
SYN-0230,"After attending multiple hearings, I am increasingly concerned. Broken exterior lighting has been reported repeatedly without a response.",2026-09-12,10,Community organizer,English,Renter,Community School A,school_safety
SYN-0231,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors.",2026-09-12,7,Parent,English,Owner,Community School D,mental_health
SYN-0232,Will the district publish route performance and missed-pickup data?,2026-09-02,8,Teacher,English,Renter,Community School B,transportation
SYN-0233,Why was the accessibility plan not included with the proposal?,2026-09-12,8,Parent,English,Owner,Community School D,accessibility
SYN-0234,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-02,20,Resident,English,Renter,Community School B,communication
SYN-0235,The proposal should add counselors instead of cutting school staff.,2026-09-02,10,Parent,Spanish,Renter,Community School B,classroom_resources
SYN-0236,"Students need a safer arrival plan and trained staff at dismissal. I live at 336 Learning Street, Apt 27A.",2026-09-07,8,Resident,English,Owner,Community School B,school_safety
SYN-0237,Students are waiting too long for mental-health support.,2026-09-12,8,Parent,English,Renter,Community School A,mental_health
SYN-0238,Long travel times are making after-school participation difficult.,2026-09-07,20,Parent,English,Other,Community School D,transportation
SYN-0239,"After attending multiple hearings, I am increasingly concerned. Why was the accessibility plan not included with the proposal?",2026-09-12,20,Parent,English,Renter,Community School A,accessibility
SYN-0240,Who is responsible for answering questions submitted at the hearing?,2026-09-12,5,Parent,Polish,Renter,Community School A,communication
SYN-0241,The proposal should add counselors instead of cutting school staff.,2026-09-02,6,Parent,English,Owner,Community School D,classroom_resources
SYN-0242,Will families be included when the new safety procedures are reviewed?,2026-09-07,7,Teacher,English,Renter,Community School B,school_safety
SYN-0243,"After attending multiple hearings, I am increasingly concerned. The district should fund trauma-informed services throughout the year.",2026-09-12,7,Parent,English,Owner,Community School A,mental_health
SYN-0244,Will the district publish route performance and missed-pickup data?,2026-09-12,8,Resident,English,Renter,Community School B,transportation
SYN-0245,The online form must work with keyboards and screen readers.,2026-09-12,10,Resident,Polish,Owner,Community School A,accessibility
SYN-0246,"After attending multiple hearings, I am increasingly concerned. Who is responsible for answering questions submitted at the hearing?",2026-09-12,8,Resident,English,Renter,Community School D,communication
SYN-0247,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-12,10,Parent,Polish,Renter,Community School D,classroom_resources
SYN-0248,Will families be included when the new safety procedures are reviewed?,2026-09-12,10,Parent,English,Renter,Community School B,school_safety
SYN-0249,Every school needs reliable access to social workers and counselors.,2026-09-12,8,Parent,Spanish,Renter,Community School D,mental_health
SYN-0250,Will the district publish route performance and missed-pickup data?,2026-09-02,8,Student,English,Renter,Community School D,transportation
SYN-0251,Families need interpretation and disability accommodations at every meeting.,2026-09-07,10,Student,English,Renter,Community School C,accessibility
SYN-0252,Regular multilingual updates would make this process easier to follow.,2026-09-12,7,Teacher,English,Renter,Community School C,communication
SYN-0253,"After attending multiple hearings, I am increasingly concerned. Why are classroom positions being reduced when enrollment is stable?",2026-09-12,6,Teacher,Spanish,Renter,Community School D,classroom_resources
SYN-0254,Broken exterior lighting has been reported repeatedly without a response.,2026-09-12,8,Teacher,English,Owner,Community School B,school_safety
SYN-0255,Students are waiting too long for mental-health support. Contact Morgan Parker at sample.person255@example.org or 312-555-1255.,2026-09-02,7,Resident,English,Renter,Community School C,mental_health
SYN-0256,Families need clear transportation updates before routes change.,2026-09-07,8,Resident,Spanish,Owner,Community School B,transportation
SYN-0257,The online form must work with keyboards and screen readers.,2026-09-12,6,Parent,English,Renter,Community School C,accessibility
SYN-0258,"Please publish decisions, supporting data, and meeting dates in one place. I live at 358 Civic Way, Apt 19B.",2026-09-07,20,Parent,English,Owner,Community School C,communication
SYN-0259,Class sizes are too large and students need more classroom materials.,2026-09-02,10,Parent,English,Renter,Community School A,classroom_resources
SYN-0260,Will families be included when the new safety procedures are reviewed?,2026-09-07,8,Parent,Mandarin,Other,Community School B,school_safety
SYN-0261,How many additional clinicians will this proposal place in schools?,2026-09-07,6,Parent,Spanish,Renter,Community School D,mental_health
SYN-0262,"After attending multiple hearings, I am increasingly concerned. The current bus schedule causes students to arrive late.",2026-09-12,20,Student,English,Owner,Community School D,transportation
SYN-0263,Meeting materials should be accessible before the public hearing.,2026-09-12,7,Parent,Spanish,Renter,Community School D,accessibility
SYN-0264,Families received the notice too late to prepare meaningful comments.,2026-09-02,6,Teacher,English,Renter,Community School A,communication
SYN-0265,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,6,Resident,English,Other,Community School B,classroom_resources
SYN-0266,Broken exterior lighting has been reported repeatedly without a response.,2026-09-12,8,Parent,English,Renter,Community School A,school_safety
SYN-0267,Students are waiting too long for mental-health support.,2026-09-12,20,Parent,English,Owner,Community School C,mental_health
SYN-0268,Will the district publish route performance and missed-pickup data?,2026-09-07,8,Parent,English,Renter,Community School B,transportation
SYN-0269,Families need interpretation and disability accommodations at every meeting.,2026-09-02,8,Parent,English,Renter,Community School A,accessibility
SYN-0270,Regular multilingual updates would make this process easier to follow.,2026-09-02,20,Community organizer,English,Other,Community School B,communication
SYN-0271,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,7,Resident,Spanish,Renter,Community School D,classroom_resources
SYN-0272,Students need a safer arrival plan and trained staff at dismissal.,2026-09-02,6,Parent,English,Other,Community School B,school_safety
SYN-0273,"After attending multiple hearings, I am increasingly concerned. The district should fund trauma-informed services throughout the year.",2026-09-12,20,Parent,English,Other,Community School D,mental_health
SYN-0274,Will the district publish route performance and missed-pickup data?,2026-09-12,7,Parent,English,Renter,Community School A,transportation
SYN-0275,Families need interpretation and disability accommodations at every meeting.,2026-09-07,7,Parent,Mandarin,Owner,Community School C,accessibility
SYN-0276,Who is responsible for answering questions submitted at the hearing?,2026-09-12,8,Parent,English,Owner,Community School C,communication
SYN-0277,The proposal should add counselors instead of cutting school staff.,2026-09-02,10,Parent,English,Owner,Community School C,classroom_resources
SYN-0278,Broken exterior lighting has been reported repeatedly without a response.,2026-09-07,10,Parent,English,Renter,Community School B,school_safety
SYN-0279,The district should fund trauma-informed services throughout the year.,2026-09-02,8,Parent,Mandarin,Renter,Community School C,mental_health
SYN-0280,The current bus schedule causes students to arrive late.,2026-09-12,8,Parent,English,Owner,Community School D,transportation
SYN-0281,Why was the accessibility plan not included with the proposal?,2026-09-07,7,Teacher,English,Renter,Community School C,accessibility
SYN-0282,Families received the notice too late to prepare meaningful comments.,2026-09-02,10,Resident,English,Renter,Community School D,communication
SYN-0283,Class sizes are too large and students need more classroom materials.,2026-09-02,7,Resident,English,Renter,Community School A,classroom_resources
SYN-0284,Will families be included when the new safety procedures are reviewed?,2026-09-02,7,Parent,English,Renter,Community School A,school_safety
SYN-0285,How many additional clinicians will this proposal place in schools?,2026-09-07,5,Resident,English,Owner,Community School C,mental_health
SYN-0286,"Families need clear transportation updates before routes change. I live at 386 Civic Way, Apt 17A.",2026-09-02,7,Student,Mandarin,Owner,Community School C,transportation
SYN-0287,Meeting materials should be accessible before the public hearing. Contact Taylor Hayes at sample.person287@example.org or 312-555-1287.,2026-09-07,8,Teacher,English,Renter,Community School A,accessibility
SYN-0288,Who is responsible for answering questions submitted at the hearing?,2026-09-02,8,Teacher,English,Renter,Community School C,communication
SYN-0289,"The proposal should add counselors instead of cutting school staff. I live at 389 Learning Street, Apt 20A.",2026-09-07,8,Student,English,Renter,Community School D,classroom_resources
SYN-0290,Please explain how the safety budget will be used at each school.,2026-09-07,20,Resident,Mandarin,Renter,Community School B,school_safety
SYN-0291,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors.",2026-09-12,7,Resident,Mandarin,Owner,Community School A,mental_health
SYN-0292,Will the district publish route performance and missed-pickup data?,2026-09-02,8,Parent,English,Renter,Community School D,transportation
SYN-0293,Why was the accessibility plan not included with the proposal? Contact Morgan Parker at sample.person293@example.org or 312-555-1293.,2026-09-07,10,Parent,English,Renter,Community School D,accessibility
SYN-0294,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow.",2026-09-12,10,Parent,English,Renter,Community School A,communication
SYN-0295,"After attending multiple hearings, I am increasingly concerned. Why are classroom positions being reduced when enrollment is stable?",2026-09-12,7,Parent,English,Owner,Community School A,classroom_resources
SYN-0296,Please explain how the safety budget will be used at each school.,2026-09-12,10,Parent,English,Renter,Community School D,school_safety
SYN-0297,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors.",2026-09-12,10,Teacher,English,Renter,Community School B,mental_health
SYN-0298,Families need clear transportation updates before routes change.,2026-09-07,20,Student,English,Renter,Community School C,transportation
SYN-0299,Why was the accessibility plan not included with the proposal?,2026-09-07,8,Parent,English,Renter,Community School D,accessibility
SYN-0300,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow.",2026-09-12,20,Resident,Mandarin,Renter,Community School D,communication
SYN-0301,Why are classroom positions being reduced when enrollment is stable?,2026-09-12,10,Resident,English,Owner,Community School C,classroom_resources
SYN-0302,Will families be included when the new safety procedures are reviewed?,2026-09-02,10,Resident,English,Renter,Community School B,school_safety
SYN-0303,Every school needs reliable access to social workers and counselors.,2026-09-02,8,Parent,English,Owner,Community School D,mental_health
SYN-0304,Will the district publish route performance and missed-pickup data?,2026-09-07,20,Parent,English,Owner,Community School B,transportation
SYN-0305,"Families need interpretation and disability accommodations at every meeting. I live at 405 Community Avenue, Apt 6B.",2026-09-07,10,Parent,English,Owner,Community School D,accessibility
SYN-0306,Who is responsible for answering questions submitted at the hearing?,2026-09-02,7,Teacher,English,Renter,Community School D,communication
SYN-0307,Class sizes are too large and students need more classroom materials.,2026-09-12,6,Parent,English,Owner,Community School A,classroom_resources
SYN-0308,"After attending multiple hearings, I am increasingly concerned. Will families be included when the new safety procedures are reviewed?",2026-09-12,8,Parent,English,Renter,Community School C,school_safety
SYN-0309,How many additional clinicians will this proposal place in schools? Contact Morgan Parker at sample.person309@example.org or 312-555-1309.,2026-09-07,10,Teacher,English,Renter,Community School B,mental_health
SYN-0310,Will the district publish route performance and missed-pickup data?,2026-09-02,7,Resident,English,Renter,Community School A,transportation
SYN-0311,"After attending multiple hearings, I am increasingly concerned. The online form must work with keyboards and screen readers. Contact Riley Hayes at sample.person311@example.org or 312-555-1311.",2026-09-12,10,Parent,English,Renter,Community School B,accessibility
SYN-0312,Regular multilingual updates would make this process easier to follow.,2026-09-02,5,Teacher,English,Renter,Community School C,communication
SYN-0313,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,10,Parent,English,Renter,Community School A,classroom_resources
SYN-0314,Broken exterior lighting has been reported repeatedly without a response. Contact Taylor Quinn at sample.person314@example.org or 312-555-1314.,2026-09-12,10,Teacher,English,Renter,Community School A,school_safety
SYN-0315,"After attending multiple hearings, I am increasingly concerned. The district should fund trauma-informed services throughout the year.",2026-09-12,8,Parent,English,Renter,Community School D,mental_health
SYN-0316,The current bus schedule causes students to arrive late.,2026-09-07,10,Teacher,English,Renter,Community School C,transportation
SYN-0317,The online form must work with keyboards and screen readers.,2026-09-07,10,Parent,English,Renter,Community School B,accessibility
SYN-0318,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-12,6,Parent,English,Renter,Community School C,communication
SYN-0319,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,8,Parent,English,Renter,Community School B,classroom_resources
SYN-0320,Please explain how the safety budget will be used at each school.,2026-09-07,7,Community organizer,English,Owner,Community School A,school_safety
SYN-0321,Every school needs reliable access to social workers and counselors.,2026-09-12,10,Parent,English,Renter,Community School B,mental_health
SYN-0322,"After attending multiple hearings, I am increasingly concerned. Families need clear transportation updates before routes change.",2026-09-12,10,Parent,Spanish,Renter,Community School A,transportation
SYN-0323,Why was the accessibility plan not included with the proposal? Contact Riley Lane at sample.person323@example.org or 312-555-1323.,2026-09-07,8,Resident,English,Owner,Community School B,accessibility
SYN-0324,Regular multilingual updates would make this process easier to follow.,2026-09-12,7,Teacher,English,Owner,Community School A,communication
SYN-0325,The proposal should add counselors instead of cutting school staff.,2026-09-02,10,Student,English,Renter,Community School B,classroom_resources
SYN-0326,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,6,Parent,English,Renter,Community School D,school_safety
SYN-0327,"After attending multiple hearings, I am increasingly concerned. The district should fund trauma-informed services throughout the year.",2026-09-12,5,Resident,English,Owner,Community School A,mental_health
SYN-0328,The current bus schedule causes students to arrive late.,2026-09-07,10,Parent,English,Owner,Community School C,transportation
SYN-0329,The online form must work with keyboards and screen readers.,2026-09-07,7,Parent,English,Renter,Community School B,accessibility
SYN-0330,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow.",2026-09-12,6,Student,English,Renter,Community School B,communication
SYN-0331,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-02,5,Teacher,English,Owner,Community School C,classroom_resources
SYN-0332,Please explain how the safety budget will be used at each school.,2026-09-02,7,Parent,English,Renter,Community School C,school_safety
SYN-0333,The district should fund trauma-informed services throughout the year.,2026-09-12,8,Teacher,English,Renter,Community School A,mental_health
SYN-0334,"The current bus schedule causes students to arrive late. I live at 434 Public Square Road, Apt 5C.",2026-09-07,7,Parent,English,Renter,Community School A,transportation
SYN-0335,"Why was the accessibility plan not included with the proposal? Contact Avery Reed at sample.person335@example.org or 312-555-1335. I live at 435 Community Avenue, Apt 6C.",2026-09-02,8,Resident,English,Renter,Community School A,accessibility
SYN-0336,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-07,8,Parent,English,Renter,Community School C,communication
SYN-0337,"Please protect funding for teachers, books, and after-school tutoring. I live at 437 Learning Street, Apt 8B.",2026-09-07,10,Teacher,English,Renter,Community School C,classroom_resources
SYN-0338,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,10,Resident,English,Renter,Community School B,school_safety
SYN-0339,The district should fund trauma-informed services throughout the year.,2026-09-02,7,Parent,English,Owner,Community School D,mental_health
SYN-0340,"After attending multiple hearings, I am increasingly concerned. The current bus schedule causes students to arrive late.",2026-09-12,6,Parent,English,Other,Community School C,transportation
SYN-0341,Meeting materials should be accessible before the public hearing.,2026-09-07,5,Resident,English,Renter,Community School D,accessibility
SYN-0342,Families received the notice too late to prepare meaningful comments.,2026-09-02,6,Parent,English,Renter,Community School A,communication
SYN-0343,The proposal should add counselors instead of cutting school staff.,2026-09-07,6,Teacher,English,Other,Community School A,classroom_resources
SYN-0344,Will families be included when the new safety procedures are reviewed?,2026-09-12,7,Parent,English,Owner,Community School D,school_safety
SYN-0345,How many additional clinicians will this proposal place in schools?,2026-09-02,10,Student,English,Owner,Community School A,mental_health
SYN-0346,"After attending multiple hearings, I am increasingly concerned. Long travel times are making after-school participation difficult.",2026-09-12,10,Parent,English,Renter,Community School A,transportation
SYN-0347,Families need interpretation and disability accommodations at every meeting.,2026-09-12,10,Community organizer,English,Renter,Community School A,accessibility
SYN-0348,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow. Contact Morgan Hayes at sample.person348@example.org or 312-555-1348.",2026-09-12,20,Parent,English,Renter,Community School C,communication
SYN-0349,"Please protect funding for teachers, books, and after-school tutoring. I live at 449 Community Avenue, Apt 20B.",2026-09-07,10,Resident,Mandarin,Owner,Community School C,classroom_resources
SYN-0350,Please explain how the safety budget will be used at each school.,2026-09-07,8,Teacher,English,Renter,Community School D,school_safety
SYN-0351,How many additional clinicians will this proposal place in schools?,2026-09-07,7,Resident,English,Renter,Community School C,mental_health
SYN-0352,The current bus schedule causes students to arrive late.,2026-09-07,6,Parent,English,Owner,Community School C,transportation
SYN-0353,"After attending multiple hearings, I am increasingly concerned. Families need interpretation and disability accommodations at every meeting.",2026-09-12,7,Student,Mandarin,Renter,Community School B,accessibility
SYN-0354,Families received the notice too late to prepare meaningful comments.,2026-09-02,8,Resident,Polish,Renter,Community School B,communication
SYN-0355,The proposal should add counselors instead of cutting school staff.,2026-09-07,7,Community organizer,English,Owner,Community School B,classroom_resources
SYN-0356,"Will families be included when the new safety procedures are reviewed? I live at 456 Community Avenue, Apt 27C.",2026-09-02,10,Parent,English,Renter,Community School C,school_safety
SYN-0357,Students are waiting too long for mental-health support.,2026-09-02,10,Resident,Mandarin,Owner,Community School A,mental_health
SYN-0358,Will the district publish route performance and missed-pickup data?,2026-09-07,20,Parent,English,Renter,Community School B,transportation
SYN-0359,"After attending multiple hearings, I am increasingly concerned. Meeting materials should be accessible before the public hearing.",2026-09-12,7,Student,English,Renter,Community School A,accessibility
SYN-0360,Families received the notice too late to prepare meaningful comments.,2026-09-12,10,Resident,English,Owner,Community School B,communication
SYN-0361,Class sizes are too large and students need more classroom materials. Contact Avery Lane at sample.person361@example.org or 312-555-1361.,2026-09-02,6,Resident,English,Owner,Community School C,classroom_resources
SYN-0362,Please explain how the safety budget will be used at each school.,2026-09-02,6,Student,English,Renter,Community School C,school_safety
SYN-0363,"Students are waiting too long for mental-health support. I live at 463 Learning Street, Apt 4A.",2026-09-07,7,Teacher,English,Owner,Community School B,mental_health
SYN-0364,Long travel times are making after-school participation difficult.,2026-09-07,7,Parent,English,Renter,Community School D,transportation
SYN-0365,Meeting materials should be accessible before the public hearing.,2026-09-07,20,Parent,English,Renter,Community School A,accessibility
SYN-0366,Regular multilingual updates would make this process easier to follow.,2026-09-02,8,Parent,Mandarin,Renter,Community School A,communication
SYN-0367,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,8,Parent,English,Renter,Community School D,classroom_resources
SYN-0368,Students need a safer arrival plan and trained staff at dismissal.,2026-09-02,8,Resident,English,Renter,Community School B,school_safety
SYN-0369,The district should fund trauma-informed services throughout the year. Contact Jordan Hayes at sample.person369@example.org or 312-555-1369.,2026-09-07,10,Teacher,Spanish,Renter,Community School D,mental_health
SYN-0370,Will the district publish route performance and missed-pickup data?,2026-09-07,8,Parent,Polish,Renter,Community School A,transportation
SYN-0371,"After attending multiple hearings, I am increasingly concerned. Families need interpretation and disability accommodations at every meeting. Contact Casey Brooks at sample.person371@example.org or 312-555-1371.",2026-09-12,8,Teacher,English,Owner,Community School A,accessibility
SYN-0372,Who is responsible for answering questions submitted at the hearing? Contact Taylor Hayes at sample.person372@example.org or 312-555-1372.,2026-09-02,8,Resident,English,Renter,Community School C,communication
SYN-0373,"After attending multiple hearings, I am increasingly concerned. Please protect funding for teachers, books, and after-school tutoring.",2026-09-12,10,Student,English,Owner,Community School C,classroom_resources
SYN-0374,Broken exterior lighting has been reported repeatedly without a response.,2026-09-12,6,Parent,English,Renter,Community School C,school_safety
SYN-0375,Students are waiting too long for mental-health support. Contact Jordan Hayes at sample.person375@example.org or 312-555-1375.,2026-09-07,6,Student,English,Renter,Community School B,mental_health
SYN-0376,Long travel times are making after-school participation difficult.,2026-09-07,8,Resident,Mandarin,Renter,Community School D,transportation
SYN-0377,The online form must work with keyboards and screen readers.,2026-09-02,6,Resident,English,Renter,Community School A,accessibility
SYN-0378,Families received the notice too late to prepare meaningful comments.,2026-09-07,6,Parent,English,Renter,Community School B,communication
SYN-0379,The proposal should add counselors instead of cutting school staff.,2026-09-02,8,Parent,English,Owner,Community School D,classroom_resources
SYN-0380,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,8,Resident,English,Renter,Community School D,school_safety
SYN-0381,"After attending multiple hearings, I am increasingly concerned. Students are waiting too long for mental-health support.",2026-09-12,7,Community organizer,English,Owner,Community School D,mental_health
SYN-0382,Families need clear transportation updates before routes change.,2026-09-07,8,Teacher,English,Owner,Community School D,transportation
SYN-0383,The online form must work with keyboards and screen readers.,2026-09-12,5,Parent,Spanish,Owner,Community School A,accessibility
SYN-0384,Families received the notice too late to prepare meaningful comments.,2026-09-07,10,Resident,English,Owner,Community School D,communication
SYN-0385,Class sizes are too large and students need more classroom materials.,2026-09-12,7,Teacher,English,Renter,Community School B,classroom_resources
SYN-0386,Students need a safer arrival plan and trained staff at dismissal.,2026-09-07,20,Parent,English,Renter,Community School B,school_safety
SYN-0387,Every school needs reliable access to social workers and counselors.,2026-09-12,8,Teacher,English,Owner,Community School D,mental_health
SYN-0388,Long travel times are making after-school participation difficult.,2026-09-02,10,Teacher,English,Renter,Community School B,transportation
SYN-0389,Meeting materials should be accessible before the public hearing. Contact Jordan Parker at sample.person389@example.org or 312-555-1389.,2026-09-07,8,Parent,English,Renter,Community School A,accessibility
SYN-0390,Families received the notice too late to prepare meaningful comments.,2026-09-07,6,Parent,English,Renter,Community School D,communication
SYN-0391,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,7,Teacher,English,Renter,Community School D,classroom_resources
SYN-0392,Students need a safer arrival plan and trained staff at dismissal.,2026-09-12,7,Community organizer,English,Renter,Community School C,school_safety
SYN-0393,Students are waiting too long for mental-health support. Contact Casey Parker at sample.person393@example.org or 312-555-1393.,2026-09-07,10,Parent,Mandarin,Owner,Community School D,mental_health
SYN-0394,Long travel times are making after-school participation difficult.,2026-09-02,8,Student,English,Owner,Community School B,transportation
SYN-0395,"Families need interpretation and disability accommodations at every meeting. I live at 495 Learning Street, Apt 6C.",2026-09-02,10,Resident,English,Renter,Community School B,accessibility
SYN-0396,Regular multilingual updates would make this process easier to follow.,2026-09-07,7,Parent,Spanish,Renter,Community School C,communication
SYN-0397,The proposal should add counselors instead of cutting school staff. Contact Casey Lane at sample.person397@example.org or 312-555-1397.,2026-09-12,6,Parent,English,Renter,Community School A,classroom_resources
SYN-0398,Will families be included when the new safety procedures are reviewed? Contact Morgan Hayes at sample.person398@example.org or 312-555-1398.,2026-09-12,6,Parent,English,Renter,Community School A,school_safety
SYN-0399,Every school needs reliable access to social workers and counselors.,2026-09-12,7,Resident,English,Other,Community School A,mental_health
SYN-0400,"The current bus schedule causes students to arrive late. I live at 500 Civic Way, Apt 11B.",2026-09-07,10,Student,Polish,Renter,Community School A,transportation
SYN-0401,Why was the accessibility plan not included with the proposal?,2026-09-02,10,Parent,English,Renter,Community School A,accessibility
SYN-0402,"Please publish decisions, supporting data, and meeting dates in one place. Contact Avery Quinn at sample.person402@example.org or 312-555-1402.",2026-09-12,10,Teacher,English,Renter,Community School A,communication
SYN-0403,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,7,Teacher,English,Renter,Community School B,classroom_resources
SYN-0404,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,8,Parent,English,Owner,Community School B,school_safety
SYN-0405,The district should fund trauma-informed services throughout the year.,2026-09-02,20,Parent,English,Renter,Community School A,mental_health
SYN-0406,"After attending multiple hearings, I am increasingly concerned. The current bus schedule causes students to arrive late.",2026-09-12,7,Parent,Spanish,Renter,Community School C,transportation
SYN-0407,"After attending multiple hearings, I am increasingly concerned. The online form must work with keyboards and screen readers.",2026-09-12,10,Resident,English,Renter,Community School A,accessibility
SYN-0408,Families received the notice too late to prepare meaningful comments.,2026-09-02,10,Parent,Polish,Renter,Community School B,communication
SYN-0409,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,8,Student,English,Renter,Community School D,classroom_resources
SYN-0410,Broken exterior lighting has been reported repeatedly without a response.,2026-09-07,8,Parent,Spanish,Renter,Community School A,school_safety
SYN-0411,The district should fund trauma-informed services throughout the year.,2026-09-12,6,Parent,English,Renter,Community School D,mental_health
SYN-0412,Families need clear transportation updates before routes change.,2026-09-02,20,Parent,English,Owner,Community School C,transportation
SYN-0413,The online form must work with keyboards and screen readers.,2026-09-02,8,Parent,English,Owner,Community School B,accessibility
SYN-0414,"Regular multilingual updates would make this process easier to follow. I live at 514 Civic Way, Apt 25C.",2026-09-02,7,Parent,English,Owner,Community School C,communication
SYN-0415,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials.",2026-09-12,6,Parent,English,Renter,Community School C,classroom_resources
SYN-0416,"Please explain how the safety budget will be used at each school. I live at 516 Public Square Road, Apt 27A.",2026-09-07,5,Teacher,English,Owner,Community School A,school_safety
SYN-0417,How many additional clinicians will this proposal place in schools?,2026-09-12,8,Parent,Spanish,Renter,Community School B,mental_health
SYN-0418,"After attending multiple hearings, I am increasingly concerned. The current bus schedule causes students to arrive late.",2026-09-12,7,Resident,English,Renter,Community School C,transportation
SYN-0419,The online form must work with keyboards and screen readers.,2026-09-07,8,Teacher,English,Renter,Community School D,accessibility
SYN-0420,Families received the notice too late to prepare meaningful comments.,2026-09-02,6,Parent,English,Owner,Community School B,communication
SYN-0421,"After attending multiple hearings, I am increasingly concerned. Please protect funding for teachers, books, and after-school tutoring. Contact Riley Brooks at sample.person421@example.org or 312-555-1421.",2026-09-12,10,Parent,English,Owner,Community School A,classroom_resources
SYN-0422,Will families be included when the new safety procedures are reviewed?,2026-09-07,8,Parent,English,Renter,Community School C,school_safety
SYN-0423,The district should fund trauma-informed services throughout the year.,2026-09-02,8,Resident,English,Renter,Community School B,mental_health
SYN-0424,The current bus schedule causes students to arrive late.,2026-09-07,5,Parent,English,Owner,Community School C,transportation
SYN-0425,Meeting materials should be accessible before the public hearing.,2026-09-07,8,Parent,English,Owner,Community School A,accessibility
SYN-0426,Regular multilingual updates would make this process easier to follow.,2026-09-02,6,Parent,Spanish,Renter,Community School D,communication
SYN-0427,The proposal should add counselors instead of cutting school staff.,2026-09-12,8,Parent,English,Renter,Community School A,classroom_resources
SYN-0428,Please explain how the safety budget will be used at each school.,2026-09-07,8,Parent,Polish,Renter,Community School D,school_safety
SYN-0429,The district should fund trauma-informed services throughout the year.,2026-09-07,8,Student,Mandarin,Renter,Community School A,mental_health
SYN-0430,The current bus schedule causes students to arrive late.,2026-09-07,5,Student,English,Renter,Community School C,transportation
SYN-0431,Families need interpretation and disability accommodations at every meeting.,2026-09-07,5,Parent,English,Renter,Community School B,accessibility
SYN-0432,Who is responsible for answering questions submitted at the hearing? Contact Jordan Brooks at sample.person432@example.org or 312-555-1432.,2026-09-12,8,Resident,English,Renter,Community School A,communication
SYN-0433,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials. Contact Jordan Hayes at sample.person433@example.org or 312-555-1433.",2026-09-12,8,Resident,English,Renter,Community School A,classroom_resources
SYN-0434,Broken exterior lighting has been reported repeatedly without a response.,2026-09-07,8,Parent,English,Renter,Community School C,school_safety
